key	len	zh_hant	zh_hans	ja
0.0	39	主上，我們需要更多住宅區	主上，我们需要更多住宅区	主上、住宅地区がもっと必要です
0.2	38	主上，我們需要更多商業區	主上，我们需要更多商业区	主上、商業地区がもっと必要です
0.4	38	主上，我們需要更多工業用地	主上，我们需要更多工业用地	主上、工業地区がもっと必要です
0.6	30	主上，我們需要更多道路	主上，我们需要更多道路	主上、道路がもっと必要です
0.8	46	若能改善人力車道，感激不盡	若能改善人力车道，感激不尽	人力車道を良くしていただけると幸いです
0.10	37	主上，我們需要另一處水源	主上，我们需要另一处水源	主上、もう一つ水源が必要です
0.12	46	百姓懇請興建摔角場	百姓恳请兴建摔角场	民が相撲場を謹んで願い出ています
0.14	29	工業需要港灣	工业需要港湾	
0.16	37	商業懇請主上興建宮殿	商业恳请主上兴建宫殿	商業が宮殿の造営を願い出ています
0.18	20	污染非常嚴重	污染非常严重	
0.20	16	犯罪率非常高	犯罪率非常高	
0.22	27	道路非常擁擠	道路非常拥挤	道路がとても混んでいます
0.24	40	子民請求增設消防區	子民请求增设消防区	民が消防隊を願い出ています
0.26	42	子民請求增設衙門	子民请求增设衙门	民が警察署を願い出ています
0.28	33	水源短缺。請查看水路圖	水源短缺。请查看水路图	水不足。水路図を確認
0.30	35	主上，稅賦太重了	主上，税赋太重了	主上、年貢が重すぎます
0.32	42	經費不足，道路年久失修	经费不足，道路年久失修	
0.34	30	消防區需要經費	消防区需要经费	
0.36	32	衙門需要經費	衙门需要经费	
0.38	15	傳出火警！	传出火警！	
0.40	29	發現怪獸出沒！！	发现怪兽出没！！	
0.42	19	出現颱風！！	出现台风！！	台風が発生！！
0.44	29	發生強烈地震！！！	发生强烈地震！！！	
0.46	23	傳出龍息爆襲！	传出龙息爆袭！	竜の吐息が炸裂！
0.48	20	有船隻失事！	有船只失事！	
0.50	20	有人力車翻覆！	有人力车翻覆！	人力車が横転！
0.52	16	有紙鳶墜落！	有纸鸢坠落！	凧が墜落！
0.54	26	失業率偏高	失业率偏高	
0.56	23	國庫已經空了！	国库已经空了！	国庫が空になりました！
0.58	43	主上，請別把樹都砍光	主上，请别把树都砍光	主上、木を切り尽くさないでください
0.60	30	主上，我們請求增建園林	主上，我们请求增建园林	主上、庭園をもっと願い出ます
0.62	20	偵測到爆炸！	侦测到爆炸！	
0.64	33	資金不足，無法興建	资金不足，无法兴建	
0.66	26	這塊地必須先犁過	这块地必须先犁过	先に鋤を入れてください
0.68	29	人口已達兩千人	人口已达两千人	
0.70	30	人口已達一萬人	人口已达一万人	
0.72	30	人口已達五萬人	人口已达五万人	
0.74	31	人口已達十萬人	人口已达十万人	
0.76	31	人口已達五十萬人	人口已达五十万人	
0.78	37	水源短缺！我們需要再鑿一口井	水源短缺！我们需要再凿一口井	水不足！井戸をもう一つ掘る要があります
0.80	30	道路實在太擁擠了	道路实在太拥挤了	道路があまりに混んでいます
0.82	19	傳出海嘯！！	传出海啸！！	津波が発生！！
0.84	27	瘟疫爆發了！！！	瘟疫爆发了！！！	疫病が発生！！！
0.86	37	連主上也無法在水面上興建	连主上也无法在水面上兴建	主上とて水上には建てられません
0.88	31	此處無法從命	此处无法从命	ここでは仰せに従えません
0.90	29	此處不能用犁	此处不能用犁	ここでは鋤が使えません
1.0	8	犁：$1	犁：$1	鋤：$1
1.1	9	道路：$10	道路：$10	
1.2	14	水路：$5	水路：$5	水路：$5
1.3	18	人力車道：$20	人力车道：$20	人力車道：$20
1.4	9	公園：$10	公园：$10	
1.5	17	住宅區：$100	住宅区：$100	
1.6	16	商業區：$100	商业区：$100	
1.7	16	工業用地：$100	工业用地：$100	
1.8	20	衙門：$500	衙门：$500	
1.9	18	消防區：$500	消防区：$500	
1.10	17	摔角場：$3000	摔角场：$3000	相撲場：$3000
1.11	18	水車：$5000	水车：$5000	水車：$5000
1.12	13	港灣：$5000	港湾：$5000	港：$5000
