key	len	zh_hant	zh_hans	ja
0.0	30	住宅區不足	住宅区不足	住宅地区が足りません
0.2	29	商業區不足	商业区不足	商業地区が足りません
0.4	29	工業用地不足	工业用地不足	工業地区が足りません
0.6	20	道路不足	道路不足	道路が足りません
0.8	23	鐵路系統不敷使用	铁路系统不敷使用	鉄道網が足りません
0.10	20	請興建發電廠	请兴建发电厂	発電所を建設してください
0.12	27	市民要求興建體育館	市民要求兴建体育馆	市民がスタジアムを要望
0.14	29	工業需要海港	工业需要海港	工業には港が必要です
0.16	29	商業需要機場	商业需要机场	商業には空港が必要です
0.18	20	污染非常嚴重	污染非常严重	汚染が非常に深刻です
0.20	16	犯罪率非常高	犯罪率非常高	犯罪が非常に多発しています
0.22	31	交通經常壅塞	交通经常壅塞	渋滞が頻発しています
0.24	34	市民要求增設消防隊	市民要求增设消防队	市民が消防署を要望
0.26	36	市民要求增設警察局	市民要求增设警察局	市民が警察署を要望
0.28	36	傳出停電。請查看電力網路圖	传出停电。请查看电力网路图	停電発生。電力マップを確認
0.30	41	稅率過高，市民不滿	税率过高，市民不满	税率が高すぎて市民が不満
0.32	42	經費不足，道路年久失修	经费不足，道路年久失修	予算不足で道路が傷んでいます
0.34	30	消防隊需要經費	消防队需要经费	消防署に予算が必要です
0.36	32	警察局需要經費	警察局需要经费	警察署に予算が必要です
0.38	15	傳出火警！	传出火警！	火災発生！
0.40	29	發現怪獸出沒！！	发现怪兽出没！！	怪獣が出現！！
0.42	19	出現龍捲風！！	出现龙卷风！！	竜巻が発生！！
0.44	29	發生強烈地震！！！	发生强烈地震！！！	大地震が発生！！！
0.46	21	有飛機墜毀！	有飞机坠毁！	飛行機が墜落！
0.48	20	有船隻失事！	有船只失事！	船が難破！
0.50	17	有火車出軌！	有火车出轨！	列車が脱線！
0.52	22	有直昇機墜毀！	有直升机坠毁！	ヘリコプターが墜落！
0.54	26	失業率偏高	失业率偏高	失業率が高くなっています
0.56	25	本市已經破產！	本市已经破产！	市が破産しました！
0.58	26	樹林砍伐過多	树林砍伐过多	森を切りすぎています
0.60	16	公園不足	公园不足	公園が足りません
0.62	20	偵測到爆炸！	侦测到爆炸！	爆発を検知！
0.64	33	資金不足，無法興建	资金不足，无法兴建	資金が足りません
0.66	29	這塊地必須先整平	这块地必须先整平	先に更地にしてください
0.68	29	人口已達兩千人	人口已达两千人	人口が 2,000 人に達しました
0.70	30	人口已達一萬人	人口已达一万人	人口が 10,000 人に達しました
0.72	30	人口已達五萬人	人口已达五万人	人口が 50,000 人に達しました
0.74	31	人口已達十萬人	人口已达十万人	人口が 100,000 人に達しました
0.76	31	人口已達五十萬人	人口已达五十万人	人口が 500,000 人に達しました
0.78	37	電力吃緊，請再蓋一座發電廠	电力吃紧，请再盖一座发电厂	電力不足。発電所を増設
0.80	23	交通量偏高	交通量偏高	交通量が多くなっています
0.82	20	傳出水災！！	传出水灾！！	洪水が発生！！
0.84	35	發生爐心熔毀！！！	发生炉心熔毁！！！	炉心溶融が発生！！！
0.86	27	水面上不能興建	水面上不能兴建	水上には建設できません
0.88	23	這裡不能興建	这里不能兴建	ここには建設できません
0.90	21	這裡無法整地	这里无法整地	ここは整地できません
1.0	12	推土機：$1	推土机：$1	ブルドーザー：$1
1.1	9	道路：$10	道路：$10	道路：$10
1.2	15	電力線：$5	电力线：$5	送電線：$5
1.3	13	鐵軌：$20	铁轨：$20	鉄道：$20
1.4	9	公園：$10	公园：$10	公園：$10
1.5	17	住宅區：$100	住宅区：$100	住宅地区：$100
1.6	16	商業區：$100	商业区：$100	商業地区：$100
1.7	16	工業用地：$100	工业用地：$100	工業地区：$100
1.8	20	警察局：$500	警察局：$500	警察署：$500
1.9	18	消防隊：$500	消防队：$500	消防署：$500
1.10	14	體育館：$3000	体育馆：$3000	スタジアム：$3000
1.11	22	核能發電廠：$5000	核能发电厂：$5000	原子力発電所：$5000
1.12	14	海港：$5000	海港：$5000	海港：$5000
1.13	15	機場：$10000	机场：$10000	空港：$10000
1.14	23	火力發電廠：$3000	火力发电厂：$3000	火力発電所：$3000
2.0	182	交通警訊——本市交通量持續擴張，\n通勤族的火氣越來越大，公路上的\n槍擊事件也在增加。要嘛多蓋幾條\n道路和鐵軌，要嘛去弄一台防彈車。	交通警讯——本市交通量持续扩张，\n通勤族的火气越来越大，公路上的\n枪击事件也在增加。要嘛多盖几条\n道路和铁轨，要嘛去弄一台防弹车。	交通警報——この街の交通量は増える\n一方で、通勤客の気は荒くなり、\n路上での発砲事件も増えている。\n道路と鉄道を増やすか、防弾車を\n用意するかだ。
2.1	191	治安警報——本市的犯罪已經失控。\n暴民在市中心搶劫、破壞。你再不\n把問題壓下來，總統就要派國民兵\n進來了。	治安警报——本市的犯罪已经失控。\n暴民在市中心抢劫、破坏。你再不\n把问题压下来，总统就要派国民兵\n进来了。	治安警報——この街の犯罪は手に\n負えなくなっている。暴徒が中心街\nで略奪と破壊を続けている。抑えら\nれなければ、大統領が州兵を送り\n込むことになる。
2.2	233	爐心熔毀——你的發電廠發生爐心\n熔毀。在放射性同位素衰變完之前，\n建議你避開那一帶。這問題要好幾\n個世代才會過去，別憋著氣等。	炉心熔毁——你的发电厂发生炉心\n熔毁。在放射性同位素衰变完之前，\n建议你避开那一带。这问题要好几\n个世代才会过去，别憋著气等。	炉心溶融——発電所で炉心溶融が\n起きた。放射性同位体が崩壊する\nまで、その一帯には近づかないこと。\n解決には何世代もかかる。息を\n止めて待つのはやめたほうがいい。
2.3	224	你贏了——憑著你的市政手腕與都市\n計劃專業，你贏得了市鑰。當地居民\n會為你立碑，並且拿你的名字為\n自己的長子命名。要不要考慮選州長？	你赢了——凭著你的市政手腕与都市\n计划专业，你赢得了市钥。当地居民\n会为你立碑，并且拿你的名字为\n自己的长子命名。要不要考虑选州长？	あなたの勝ちだ——市政の手腕と\n都市計画の腕前で、市の鍵を手に\nした。住民は記念碑を建て、長男に\nあなたの名を付けるだろう。知事に\n立候補してはどうか。
2.4	314	彈劾通知——全市市民終於受夠了你\n拙劣的規劃與無能的管理。一群憤怒\n的暴民——由你母親帶頭——已經出現\n在市政廳附近。你該認真考慮去放個\n長假了，現在就去。（或者把說明書\n讀一遍，再來一次。）	弹劾通知——全市市民终于受够了你\n拙劣的规划与无能的管理。一群愤怒\n的暴民——由你母亲带头——已经出现\n在市政厅附近。你该认真考虑去放个\n长假了，现在就去。（或者把说明书\n读一遍，再来一次。）	弾劾通告——この街の住民は、\nお粗末な計画と無能な運営に\nとうとう我慢の限界だ。怒った\n暴徒が——先頭はあなたの母親——\n市庁舎の近くに現れた。長い休暇を\n真剣に考えたほうがいい、今すぐ。\n（またはマニュアルを読んで再挑戦）
2.5	251	怪獸來襲——有人在水域發現一隻\n巨大的爬蟲類生物。牠似乎會被高\n污染的地區吸引，所到之處一片狼藉。\n你只能等牠離開，再從瓦礫堆重建。	怪兽来袭——有人在水域发现一只\n巨大的爬虫类生物。它似乎会被高\n污染的地区吸引，所到之处一片狼藉。\n你只能等它离开，再从瓦砾堆重建。	怪獣襲来——巨大な爬虫類が水域で\n目撃された。汚染のひどい地域に\n引き寄せられるらしく、通った跡は\n破壊の連続だ。去るのを待って、\n瓦礫から建て直すしかない。
2.6	255	污染警報——本市的污染已經超過\n模擬城市污染管理局訂定的上限。\n你正冒著造成嚴重生態後果的風險。\n要嘛把它清乾淨，要嘛在市政廳門口\n擺個防毒面具攤位。	污染警报——本市的污染已经超过\n模拟城市污染管理局订定的上限。\n你正冒著造成严重生态后果的风险。\n要嘛把它清干净，要嘛在市政厅门口\n摆个防毒面具摊位。	汚染警報——この街の汚染は、\nシムシティ汚染管理局の定める\n上限を超えた。深刻な生態系への\n影響を招きかねない。何とかするか、\n市庁舎前でガスマスクを売るかだ。
2.7	243	超級都會——恭喜，你已經達到都市\n發展的最高等級：超級都會。\n如果你真的走到這一步，打通電話給\nMAXIS，或把你的城市寄一份給我們，\n我們也許會拿它做點有趣的事。	超级都会——恭喜，你已经达到都市\n发展的最高等级：超级都会。\n如果你真的走到这一步，打通电话给\nMAXIS，或把你的城市寄一份给我们，\n我们也许会拿它做点有趣的事。	メガロポリス——おめでとう、\n都市発展の最高段階、メガロポリス\nに到達した。ここまで来たら\nMAXIS に電話するか、この街の\nコピーを送ってほしい。何か面白い\nことをするかもしれない。
2.8	201	大都會——你的首府已經晉升為大\n都會，目前人口十萬。以你的規劃\n能力，可以考慮去選州長，\n或者改行做 VLSI 設計。	大都会——你的首府已经晋升为大\n都会，目前人口十万。以你的规划\n能力，可以考虑去选州长，\n或者改行做 VLSI 设计。	大都市——あなたの首府は大都市に\n昇格した。現在の人口は 10 万人。\nその手腕なら知事に立候補するか、\nVLSI 設計に転職してもいい。
2.9	124	首府——你的城市已經成為首府，\n目前人口五萬。你的政治前途一片\n光明。	首府——你的城市已经成为首府，\n目前人口五万。你的政治前途一片\n光明。	首府——この街は首府になった。\n現在の人口は 5 万人。政治的な\n将来は明るい。
2.10	109	城市——你的城鎮已經長成一座完整\n的城市，目前人口一萬。\n繼續保持！	城市——你的城镇已经长成一座完整\n的城市，目前人口一万。\n继续保持！	都市——あなたの町は人口 1 万人の\n立派な都市に育った。\nその調子で。
2.11	90	城鎮——恭喜，你的村莊已經升格為\n城鎮，現在有兩千位市民了。	城镇——恭喜，你的村庄已经升格为\n城镇，现在有两千位市民了。	町——おめでとう、あなたの村は\n町に昇格した。市民は 2,000 人だ。
2.12	324	美國密西根州底特律，1972 年——\n到了 1970 年代，海外競爭與其他\n經濟因素把這座曾經的世界汽車之都\n推進了衰退。地價暴跌與失業使得\n市中心的犯罪惡化成長期問題。\n你有十年的時間降低犯罪，\n並重建本市的工業基礎。	美国密西根州底特律，1972 年——\n到了 1970 年代，海外竞争与其他\n经济因素把这座曾经的世界汽车之都\n推进了衰退。地价暴跌与失业使得\n市中心的犯罪恶化成长期问题。\n你有十年的时间降低犯罪，\n并重建本市的工业基础。	デトロイト（米ミシガン州）1972 年—\n1970 年代、海外との競争などの経済\n要因が、かつて世界の自動車産業の\n首都だった街を不況に沈めた。地価\nの暴落と失業は中心街の犯罪を慢性\n化させた。10 年で犯罪を減らし、\n工業基盤を建て直してほしい。
2.13	296	巴西里約熱內盧，2047 年——\n到二十一世紀中葉，溫室效應讓全球\n均溫上升了約華氏四度。極地冰冠\n融化，全球海平面上升，沿海地區\n被洪水與侵蝕摧毀。你有十年的時間\n把這片沼澤變回一座城市。	巴西里约热内卢，2047 年——\n到二十一世纪中叶，温室效应让全球\n均温上升了约华氏四度。极地冰冠\n融化，全球海平面上升，沿海地区\n被洪水与侵蚀摧毁。你有十年的时间\n把这片沼泽变回一座城市。	リオデジャネイロ（ブラジル）2047 年\n——21 世紀半ば、温室効果で世界の\n平均気温は華氏約 4 度上がった。極\n地の氷冠が溶けて海面が世界中で上\n昇し、沿岸は洪水と浸食に壊された。\n10 年でこの沼地を都市に戻せ。
2.14	239	日本東京，1957 年——\n有人發現一隻巨大的爬蟲類生物正\n朝東京灣前進。牠似乎是被大量的\n工業污染吸引來的。先控制住火勢，\n再重建工業中心。你有五年的時間。	日本东京，1957 年——\n有人发现一只巨大的爬虫类生物正\n朝东京湾前进。它似乎是被大量的\n工业污染吸引来的。先控制住火势，\n再重建工业中心。你有五年的时间。	東京（日本）1957 年——巨大な爬虫\n類が東京湾へ向かうのが目撃された。\n大量の工業汚染に引き寄せられている\nらしい。まず火災を抑え、それから\n工業の中心を建て直すこと。\n期限は 5 年だ。
2.15	280	德國漢堡，1944 年——\n二次大戰盟軍對德國城市的燒夷彈\n轟炸造成巨大的破壞與傷亡，住在\n市中心的人風險最高。你必須在轟炸\n期間控制住火風暴，戰後再重建城市。\n你有五年的時間。	德国汉堡，1944 年——\n二次大战盟军对德国城市的烧夷弹\n轰炸造成巨大的破坏与伤亡，住在\n市中心的人风险最高。你必须在轰炸\n期间控制住火风暴，战后再重建城市。\n你有五年的时间。	ハンブルク（ドイツ）1944 年——第二\n次大戦の連合軍による焼夷弾爆撃は、\nドイツの都市に甚大な被害と犠牲を\nもたらした。中心街の住民が最も危険\nだった。爆撃のあいだ火災旋風を抑え、\n戦後に街を建て直せ。期限は 5 年。
2.16	268	美國加州舊金山，1906 年——\n地震本身的損害，比起隨後那場燒了\n好幾天才控制住的大火，其實算輕的。\n一千五百人喪生。你首先要處理的是\n火勢，然後清除瓦礫、開始重建。\n你有五年的時間。	美国加州旧金山，1906 年——\n地震本身的损害，比起随后那场烧了\n好几天才控制住的大火，其实算轻的。\n一千五百人丧生。你首先要处理的是\n火势，然后清除瓦砾、开始重建。\n你有五年的时间。	サンフランシスコ（米カリフォルニア\n州）1906 年——地震そのものの被害は、\n続いて起きた火災に比べれば軽かった。\n鎮火まで数日、死者 1500 人。まず火を\n抑え、それから瓦礫を片づけて再建を。\n期限は 5 年。
2.17	321	美國達斯維利，1900 年——\n這裡過去一百年來沒什麼變化，\n居民也開始覺得無聊了。他們認為\n只要有對的領導者，達斯維利可以\n成為下一座偉大的城市。你的工作\n是吸引新的成長與開發，在三十年內\n把達斯維利變成一座大都會。	美国达斯维利，1900 年——\n这里过去一百年来没什么变化，\n居民也开始觉得无聊了。他们认为\n只要有对的领导者，达斯维利可以\n成为下一座伟大的城市。你的工作\n是吸引新的成长与开发，在三十年内\n把达斯维利变成一座大都会。	ダルズビル（米国）1900 年——この百\n年ほど、ここは大して変わっておらず、\n住民は退屈しはじめている。正しい指\n導者がいれば、ダルズビルは次の偉大\nな都市になれると彼らは考えている。\n新しい成長と開発を呼び込み、30 年で\nメトロポリスに育てるのが仕事だ。
2.18	282	美國麻州波士頓，2010 年——\n市中心新蓋的核子反應爐之一即將\n發生嚴重的爐心熔毀。反應爐周邊\n會受到嚴重的輻射污染，逼得你必須\n繞著它重整整座城市。你有五年的\n時間把情況控制下來。	美国麻州波士顿，2010 年——\n市中心新盖的核子反应炉之一即将\n发生严重的炉心熔毁。反应炉周边\n会受到严重的辐射污染，逼得你必须\n绕著它重整整座城市。你有五年的\n时间把情况控制下来。	ボストン（米マサチューセッツ州）\n2010 年——中心街の新しい原子炉の一\nつで、大規模な炉心溶融が起きようと\nしている。周辺は放射能でひどく汚染\nされ、街をその周りに組み直すことに\nなる。5 年で事態を収拾せよ。
2.19	287	瑞士伯恩，1965 年——\n這裡的道路一天比一天壅塞，居民\n很不滿，要求你想想辦法。有人提議\n用大眾運輸系統來解決，但那需要\n對市中心做大規模的重新分區。\n你有十年的時間。	瑞士伯恩，1965 年——\n这里的道路一天比一天壅塞，居民\n很不满，要求你想想办法。有人提议\n用大众运输系统来解决，但那需要\n对市中心做大规模的重新分区。\n你有十年的时间。	ベルン（スイス）1965 年——ここの道\n路は日に日に混み、住民は不満をつの\nらせて、何とかしろと言っている。大\n量輸送機関はどうかという声もあるが、\nそれには中心街の大規模な再区画が要\nる。期限は 10 年。
3.0	6	 交通	 交通	 交通
3.1	6	 警局	 警局	 警察
3.2	6	 消防	 消防	 消防
3.3	8	稅率	税率	税率
4.0	3	一月	一月	1月
4.1	3	二月	二月	2月
4.2	3	三月	三月	3月
4.3	3	四月	四月	4月
4.4	3	五月	五月	5月
4.5	3	六月	六月	6月
4.6	3	七月	七月	7月
4.7	3	八月	八月	8月
4.8	3	九月	九月	9月
4.9	3	十月	十月	10月
4.10	3	十一月	十一月	11月
4.11	3	十二月	十二月	12月
5.0	4	火力	火力	火力
5.1	7	核能	核能	原子力
6.0	12			
6.1	11			
6.2	11			
6.3	8			
6.4	9			
6.5	11			
6.6	10			
6.7	7			
7.0	10	人口	人口	人口
7.1	5	犯罪	犯罪	犯罪
7.2	8	商業	商业	商業
7.3	9	現金流量	现金流量	収支
7.4	8	工業	工业	工業
7.5	9	污染	污染	汚染
7.6	13	近十年	近十年	過去10年
7.7	14	近一百二十年	近一百二十年	過去120年
8.0	18	人口分佈	人口分布	人口密度
8.1	17	人口成長	人口成长	人口増加率
9.0	6	警力	警力	警察
9.1	4	消防	消防	消防
10.0	11	 都市型態 	 都市型态 	 都市の形 
10.1	12	 電力網路 	 电力网路 	 送電網 
10.2	16	 運輸網路 	 运输网路 	 交通網 
10.3	20	 人口分佈 	 人口分布 	 人口密度 
10.4	17	 交通密度 	 交通密度 	 交通量 
10.5	15	 污染分佈 	 污染分布 	 汚染分布 
10.6	11	 犯罪率 	 犯罪率 	 犯罪率 
10.7	12	 地價 	 地价 	 地価 
10.8	19	 警力範圍 	 警力范围 	 警察の範囲 
10.9	17	 消防範圍 	 消防范围 	 消防の範囲 
10.10	19	 人口成長 	 人口成长 	 人口増加率 
11.0	21	人口分佈	人口分布	人口密度
11.1	21	警力範圍	警力范围	警察の範囲
11.2	15	消防範圍	消防范围	消防の範囲
11.3	17	人口成長	人口成长	人口増加率
12.0	7	村莊	村庄	村
12.1	4	城鎮	城镇	町
12.2	4	城市	城市	市
12.3	7	首府	首府	中核市
12.4	10	大都會	大都会	大都市
12.5	11	超級都會	超级都会	巨大都市
13.0	5	犯罪	犯罪	犯罪
13.1	9	污染	污染	汚染
13.2	13	房價	房价	住宅費
13.3	5	稅	税	税金
13.4	7	交通	交通	交通
13.5	12	失業	失业	失業
13.6	5	火災	火灾	火災
14.0	1			
14.1	9	空地	空地	更地
14.2	5	水域	水域	水面
14.3	6	樹林	树林	森
14.4	4	公園	公园	公園
14.5	6	瓦礫	瓦砾	がれき
14.6	5	水災	水灾	洪水
14.7	11	輻射污染	辐射污染	放射能汚染
14.8	4	火災	火灾	火災
14.9	4	道路	道路	道路
14.10	10	電力線	电力线	送電線
14.11	4	鐵軌	铁轨	鉄道
14.12	11	住宅區	住宅区	住宅地区
14.13	8	醫院	医院	病院
14.14	6	教堂	教堂	教会
14.15	10	商業區	商业区	商業地区
14.16	5	MAXIS	MAXIS	MAXIS
14.17	10	商業區	商业区	商業地区
14.18	10	工業用地	工业用地	工業地区
14.19	8	海港	海港	海港
14.20	7	機場	机场	空港
14.21	16	火力發電廠	火力发电厂	火力発電所
14.22	12	消防隊	消防队	消防署
14.23	17	警察局	警察局	警察署
14.24	7	體育館	体育馆	スタジアム
14.25	19	核能發電廠	核能发电厂	原子力発電所
14.26	6	橋樑	桥梁	橋
14.27	10	工業用地	工业用地	工業地区
14.28	13	公園噴泉	公园喷泉	公園の噴水
14.29	10	工業用地	工业用地	工業地区
14.30	15	小型爆炸	小型爆炸	小さな爆発
14.31	10	工業用地	工业用地	工業地区
14.32	10	發電廠煙囪	发电厂烟囱	発電所の煙突
14.33	16	四九人隊 7－熊隊 10	四九人队 7－熊队 10	49ers 7－ベアーズ 10
14.34	6	橋樑	桥梁	橋
14.35	19	核能發電廠	核能发电厂	原子力発電所
14.36	3	？？？	？？？	？？？
15.0	8	密度：	密度：	密度：
15.1	6	地價：	地价：	地価：
15.2	6	犯罪：	犯罪：	犯罪：
15.3	10	污染：	污染：	汚染：
15.4	7	成長：	成长：	増加：
16.0	6	系統	系统	システム
16.1	7	功能	功能	オプション
16.2	9	災難	灾难	災害
16.3	7	視窗	视窗	ウィンドウ
17.0	15	 關於本遊戲	 关于本游戏	 このゲームについて
17.1	2	 -	 -	 -
17.2	6	 印表	 印表	 印刷
17.3	14	 讀取圖形集	 读取图形集	 グラフィックセットを読む
17.4	2	 -	 -	 -
17.5	14	 讀取悲情城市	 读取悲情城市	 シナリオを読む
17.6	15	 重新建造一新城市	 重新建造一新城市	 新しい都市をつくる
17.7	2	 -	 -	 -
17.8	18	 讀取舊有檔案  Ctrl-L	 读取旧有档案  Ctrl-L	 都市を読み込む  Ctrl-L
17.9	18	 以……檔名儲存 	 以……档名储存 	 名前を付けて保存 
17.10	18	 儲存現有城市  Ctrl-S	 储存现有城市  Ctrl-S	 都市を保存      Ctrl-S
17.11	2	 -	 -	 -
17.12	18	 跳出遊戲      Ctrl-X	 跳出游戏      Ctrl-X	 ゲーム終了      Ctrl-X
18.0	22	 全自動整地      Ctrl-A	 全自动整地      Ctrl-A	 自動整地        Ctrl-A
18.1	12	 自動編列預算	 自动编列预算	 自動予算
18.2	10	 自動前往災難現場	 自动前往灾难现场	 災害現場へ自動移動
18.3	10	 關閉音效	 关闭音效	 音を消す
18.4	6	 模擬速度	 模拟速度	 シミュレーション速度
18.5	12	 持續所有視窗內之活動	 持续所有视窗内之活动	 すべてのウィンドウを動かす
18.6	19	 加快市區景物活動	 加快市区景物活动	 街の動きを速く
19.0	11	 最快  4	 最快  4	 最速  4
19.1	11	 快速  3	 快速  3	 速い  3
19.2	11	 普通  2	 普通  2	 ふつう  2
19.3	11	 慢速  1	 慢速  1	 遅い  1
19.4	11	 暫停  0	 暂停  0	 一時停止  0
20.0	5	 火災	 火灾	 火事
20.1	6	 水災	 水灾	 洪水
20.2	10	 空難	 空难	 墜落事故
20.3	8	 龍捲風	 龙卷风	 竜巻
20.4	11	 地震	 地震	 地震
20.5	8	 怪獸	 怪兽	 怪獣
20.6	2	 -	 -	 -
20.7	9	 取消 	 取消 	 取消 
21.0	21	 地圖視窗      Ctrl-M	 地图视窗      Ctrl-M	 地図        Ctrl-M
21.1	21	 統計圖視窗    Ctrl-G	 统计图视窗    Ctrl-G	 グラフ      Ctrl-G
21.2	21	 預算視窗      Ctrl-B	 预算视窗      Ctrl-B	 予算        Ctrl-B
21.3	21	 編輯視窗      Ctrl-E	 编辑视窗      Ctrl-E	 編集        Ctrl-E
21.4	21	 評估視窗      Ctrl-U	 评估视窗      Ctrl-U	 評価        Ctrl-U
21.5	21	 關閉視窗      Ctrl-C	 关闭视窗      Ctrl-C	 閉じる      Ctrl-C
21.6	21	 隱藏前視窗    Ctrl-H	 隐藏前视窗    Ctrl-H	 隠す        Ctrl-H
21.7	21	 視窗位置      Ctrl-P	 视窗位置      Ctrl-P	 位置        Ctrl-P
21.8	21	 調整編輯窗大小 Ctrl-R	 调整编辑窗大小 Ctrl-R	 編集窓の大きさ Ctrl-R
