# i,scycle,rvalve,cvalve,ivalve,draws,state[,cityscore,cityyes,cityno,問題表0..6,投票抽樣,市民抽樣,迭代,成功][,規則抽樣,精靈抽樣[,逐型精靈抽樣0..8[,地圖雜湊]]]
0,0,340,-629,580,216,4333510,216,0,0,0,0,0,0,0,0,0,0,3262662424
1,0,340,-629,580,104,3400126,104,0,0,0,0,0,0,0,0,0,0,1362749800
2,0,340,-629,580,160,5360798,160,0,0,0,0,0,0,0,0,0,0,2748870664
3,0,340,-629,580,347,7403389,346,1,0,1,0,0,0,0,0,0,0,3884684191
4,0,340,-629,580,368,2161549,368,0,0,0,0,0,0,0,0,0,0,2352003618
5,0,340,-629,580,219,12669208,219,0,0,0,0,0,0,0,0,0,0,2851879403
6,0,340,-629,580,683,14305327,683,0,0,0,0,0,0,0,0,0,0,4134882248
7,0,340,-629,580,126,8298377,125,1,0,1,0,0,0,0,0,0,0,4117607094
8,0,340,-629,580,0,8298377,0,0,0,0,0,0,0,0,0,0,0,4117607094
9,0,340,-629,580,0,8298377,0,0,0,0,0,0,0,0,0,0,0,4117607094
10,0,340,-629,580,0,8298377,0,0,0,0,0,0,0,0,0,0,0,4117607094
11,0,340,-629,580,5,14557850,4,1,0,1,0,0,0,0,0,0,0,4117607094
12,0,340,-629,580,1,3921867,1,0,0,0,0,0,0,0,0,0,0,4117607094
13,0,340,-629,580,0,3921867,0,0,0,0,0,0,0,0,0,0,0,4117607094
14,0,340,-629,580,1,3992488,1,0,0,0,0,0,0,0,0,0,0,4117607094
15,1,340,-629,580,704,1675240,703,1,0,1,0,0,0,0,0,0,0,4117607094
16,1,340,-629,580,181,6778893,179,2,0,0,0,2,0,0,0,0,0,3928761510
17,1,340,-629,580,87,13382444,85,2,0,0,0,2,0,0,0,0,0,4235472769
18,1,340,-629,580,114,12084570,110,4,0,0,0,2,2,0,0,0,0,3774742241
19,1,340,-629,580,380,10793678,377,3,0,1,0,2,0,0,0,0,0,1465671928
20,1,340,-629,580,459,11702909,457,2,0,0,0,2,0,0,0,0,0,713659648
21,1,340,-629,580,310,4915951,308,2,0,0,0,2,0,0,0,0,0,2734138726
22,1,340,-629,580,685,6317024,683,2,0,0,0,2,0,0,0,0,0,171370341
23,1,340,-629,580,138,1609654,135,3,0,1,0,2,0,0,0,0,0,1091613413
24,1,340,-629,580,2,9339940,0,2,0,0,0,2,0,0,0,0,0,1091613413
