# i,scycle,rvalve,cvalve,ivalve,draws
0,0,179,-600,600,0
1,0,179,-600,600,6
2,0,179,-600,600,0
3,0,179,-600,600,0
4,0,179,-600,600,0
5,0,179,-600,600,0
6,0,179,-600,600,0
7,0,179,-600,600,0
8,0,179,-600,600,703
9,0,179,-600,600,0
10,0,179,-600,600,0
11,0,179,-600,600,3
12,0,179,-600,600,3
13,0,179,-600,600,0
14,0,179,-600,600,0
15,1,179,-600,600,704
16,1,179,-600,600,0
17,1,179,-600,600,6
18,1,179,-600,600,0
19,1,179,-600,600,0
20,1,179,-600,600,0
21,1,179,-600,600,0
22,1,179,-600,600,0
23,1,179,-600,600,0
24,1,179,-600,600,0
25,1,179,-600,600,0
26,1,179,-600,600,0
27,1,179,-600,600,0
28,1,179,-600,600,0
29,1,179,-600,600,0
30,1,179,-600,600,0
31,2,358,-1200,1200,0
32,2,358,-1200,1200,0
33,2,358,-1200,1200,6
34,2,358,-1200,1200,0
35,2,358,-1200,1200,0
36,2,358,-1200,1200,0
37,2,358,-1200,1200,0
38,2,358,-1200,1200,0
39,2,358,-1200,1200,0
40,2,358,-1200,1200,0
41,2,358,-1200,1200,0
42,2,358,-1200,1200,0
43,2,358,-1200,1200,0
44,2,358,-1200,1200,0
45,2,358,-1200,1200,0
46,2,358,-1200,1200,0
47,3,358,-1200,1200,0
48,3,358,-1200,1200,0
49,3,358,-1200,1200,6
50,3,358,-1200,1200,0
51,3,358,-1200,1200,0
52,3,358,-1200,1200,0
53,3,358,-1200,1200,0
54,3,358,-1200,1200,0
55,3,358,-1200,1200,0
56,3,358,-1200,1200,0
57,3,358,-1200,1200,0
58,3,358,-1200,1200,0
59,3,358,-1200,1200,0
60,3,358,-1200,1200,0
61,3,358,-1200,1200,0
62,3,358,-1200,1200,0
63,4,538,-1500,1500,0
64,4,538,-1500,1500,0
65,4,538,-1500,1500,6
66,4,538,-1500,1500,0
67,4,538,-1500,1500,0
68,4,538,-1500,1500,0
69,4,538,-1500,1500,0
70,4,538,-1500,1500,0
71,4,538,-1500,1500,0
72,4,538,-1500,1500,0
73,4,538,-1500,1500,0
74,4,538,-1500,1500,0
75,4,538,-1500,1500,0
76,4,538,-1500,1500,0
77,4,538,-1500,1500,0
78,4,538,-1500,1500,0
79,5,538,-1500,1500,0
80,5,538,-1500,1500,0
81,5,538,-1500,1500,6
82,5,538,-1500,1500,0
83,5,538,-1500,1500,0
84,5,538,-1500,1500,0
85,5,538,-1500,1500,0
86,5,538,-1500,1500,0
87,5,538,-1500,1500,0
88,5,538,-1500,1500,0
89,5,538,-1500,1500,0
90,5,538,-1500,1500,0
91,5,538,-1500,1500,0
92,5,538,-1500,1500,0
93,5,538,-1500,1500,0
94,5,538,-1500,1500,0
95,6,718,-1500,1500,0
96,6,718,-1500,1500,0
97,6,718,-1500,1500,6
98,6,718,-1500,1500,0
99,6,718,-1500,1500,0
100,6,718,-1500,1500,0
101,6,718,-1500,1500,0
102,6,718,-1500,1500,0
103,6,718,-1500,1500,0
104,6,718,-1500,1500,0
105,6,718,-1500,1500,0
106,6,718,-1500,1500,0
107,6,718,-1500,1500,0
108,6,718,-1500,1500,0
